"","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"504",146,"leale","1","9","Italian","L2"
"505",146,"paziente","1","9","Italian","L2"
"506",146,"sleale","8","1","Italian","L2"
"507",146,"meschina","8","2","Italian","L2"
"508",146,"crudele","5","1","Italian","L2"
"509",146,"scortese","5","3","Italian","L2"
"510",146,"cattivo","1","1","Italian","L2"
"511",146,"negativo","1","1","Italian","L2"
"512",146,"cauta","4","7","Italian","L2"
"513",146,"gentile","1","9","Italian","L2"
"514",146,"bugiarda","9","1","Italian","L2"
"515",146,"elegante","1","9","Italian","L2"
"516",146,"pigra","1","5","Italian","L2"
"517",146,"tesoro","1","9","Italian","L2"
"518",146,"santo","1","9","Italian","L2"
"519",146,"demone","9","1","Italian","L2"
"520",146,"stronzo","1","1","Italian","L2"
"521",77,"crudele","7","7","Italian","L2"
"522",77,"buono","1","9","Italian","L2"
"523",77,"saggia","2","7","Italian","L2"
"524",77,"affidabile","4","7","Italian","L2"
"525",77,"tesoro","7","5","Italian","L2"
"526",77,"stronzo","5","4","Italian","L2"
"527",77,"scortese","8","1","Italian","L2"
"528",77,"scrupolosa","8","8","Italian","L2"
"529",77,"elegante","7","9","Italian","L2"
"530",77,"cauta","6","3","Italian","L2"
"531",77,"positivo","2","9","Italian","L2"
"532",77,"demone","9","7","Italian","L2"
"533",77,"leale","9","9","Italian","L2"
"534",77,"meschina","6","3","Italian","L2"
"535",77,"pigra","7","8","Italian","L2"
"536",77,"riservata","1","7","Italian","L2"
"537",77,"sleale","9","1","Italian","L2"
"538",77,"cattivo","7","2","Italian","L2"
"539",77,"osceno","8","4","Italian","L2"
"540",77,"paziente","1","9","Italian","L2"
"541",77,"negativo","1","1","Italian","L2"
"542",77,"gentile","7","9","Italian","L2"
"543",77,"indiscreta","1","1","Italian","L2"
"544",77,"santo","5","9","Italian","L2"
"545",77,"bugiarda","9","1","Italian","L2"
"546",77,"inaffidabile","9","1","Italian","L2"
"547",50,"bugiarda","8","2","Italian","L2"
"548",50,"paziente","1","8","Italian","L2"
"549",50,"affidabile","1","8","Italian","L2"
"550",50,"inaffidabile","7","2","Italian","L2"
"551",50,"meschina","8","1","Italian","L2"
"552",50,"saggia","1","9","Italian","L2"
"553",50,"riservata","2","7","Italian","L2"
"554",50,"scrupolosa","2","7","Italian","L2"
"555",50,"demone","8","1","Italian","L2"
"556",50,"pigra","5","3","Italian","L2"
"557",50,"cattivo","8","2","Italian","L2"
"558",50,"leale","1","8","Italian","L2"
"559",50,"tesoro","1","9","Italian","L2"
"560",50,"positivo","1","8","Italian","L2"
"561",50,"cauta","4","5","Italian","L2"
"562",50,"stronzo","8","1","Italian","L2"
"563",50,"sleale","7","3","Italian","L2"
"564",50,"buono","1","9","Italian","L2"
"565",50,"negativo","6","2","Italian","L2"
"566",50,"elegante","3","7","Italian","L2"
"567",50,"santo","4","7","Italian","L2"
"568",50,"crudele","7","2","Italian","L2"
"569",50,"scortese","7","3","Italian","L2"
"570",50,"indiscreta","6","4","Italian","L2"
"571",50,"gentile","1","9","Italian","L2"
"572",50,"osceno","7","2","Italian","L2"
"573",53,"cauta","5","7","Italian","L2"
"574",53,"gentile","6","7","Italian","L2"
"575",53,"paziente","7","8","Italian","L2"
"576",53,"sleale","8","1","Italian","L2"
"577",53,"indiscreta","5","2","Italian","L2"
"578",53,"scortese","7","1","Italian","L2"
"579",53,"leale","3","9","Italian","L2"
"580",53,"inaffidabile","6","2","Italian","L2"
"581",53,"osceno","4","1","Italian","L2"
"582",53,"positivo","6","8","Italian","L2"
"583",53,"bugiarda","4","1","Italian","L2"
"584",53,"negativo","4","2","Italian","L2"
"585",53,"stronzo","5","1","Italian","L2"
"586",53,"saggia","5","7","Italian","L2"
"587",53,"pigra","4","3","Italian","L2"
"588",53,"cattivo","5","3","Italian","L2"
"589",53,"crudele","5","1","Italian","L2"
"590",53,"santo","5","7","Italian","L2"
"591",53,"scrupolosa","5","5","Italian","L2"
"592",53,"tesoro","6","6","Italian","L2"
"593",53,"affidabile","6","8","Italian","L2"
"594",53,"buono","5","8","Italian","L2"
"595",53,"demone","5","1","Italian","L2"
"596",53,"meschina","4","1","Italian","L2"
"597",53,"riservata","5","6","Italian","L2"
